,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000150339868,692.7257456176625,517.0221096316399,559.3957997738877,832.8342301988223,707.5300869876249,685.6190706198134,684.926456006874
ZINC000252286769,301.44796257188153,477.4823213834488,433.6243211152897,160.4596689156345,286.1039210737331,308.8710561666551,308.3441328885379
ZINC000003775575,107.19963121043772,282.89109055652824,239.06986359312188,34.62182077943412,91.60694440417532,114.7426103313569,113.73628400642595
ZINC000003780340,126.24376599814377,302.32272657925824,259.40283981492985,18.170466452089908,111.23746034301955,133.51006519568298,133.92377998289163
ZINC000003824868,536.6970258435744,712.8132549070014,668.980065375394,395.76290214403326,521.4266936840141,544.0772931871588,543.7102505342094
ZINC000085551898,390.2427488362685,216.5988054073071,256.6232774791607,529.4953890218874,404.7090103536623,383.3438661964377,381.9497341051069
ZINC000085599718,242.91842234318108,418.3649168131678,373.91352708891714,102.68174091039712,227.35489920008794,250.47781788125994,249.1793321862859
ZINC000003870533,104.38066930597562,278.88512495207164,234.39072845909504,41.95862691354269,88.54325648826597,112.06375240785133,109.83221028225483
ZINC000003874204,549.6678643286043,725.8332970620094,682.0847941925689,408.7907425833319,534.4522231615762,557.0304827429836,556.7681956849797
ZINC000003872013,510.1942657487283,686.3820408714467,642.7367787807498,369.36908408320596,495.0143431639448,517.5412416635447,517.3679156639231
ZINC000003802871,289.2420538326976,465.21954112666566,421.25453592499576,148.2631627633167,273.8642828922448,296.6900189244405,296.0431223065562
ZINC000012503234,235.4066812672651,410.4485447385278,365.7600195916219,96.06302289736597,219.76351899009975,243.01153906605742,241.37086686305463
ZINC000006381852,591.9946896981769,768.0336606502257,723.9944883810643,451.0180685668688,576.6636622990843,599.4072041034281,598.8608179769583
ZINC000000006170,406.4041062333622,582.5186016576831,538.7408199749199,265.46791634391803,391.131584450914,413.78945634578844,413.42702983804674
ZINC000003830408,216.82730133877493,392.9895092151995,350.1562023397909,77.92852793662327,202.0721448639507,224.0355698283203,224.69363848748682
ZINC000003831283,399.567444718751,575.6966545463929,531.9006271062774,258.64531147369956,384.311940498853,406.9565083484154,406.59629088546035
ZINC000003916663,310.7312067405363,486.8840932379232,443.26355186413286,169.85708596033655,295.50607305744,318.10265294032837,317.8596584588689
ZINC000026496985,556.5823905702763,732.7117690104668,688.8455446180195,415.659221161152,541.3262247629997,563.9660125930424,563.5944804520354
ZINC000027100987,392.3309399228035,568.4423596275548,524.575600984131,251.4046986545071,377.06524708843955,399.7343975568121,399.31446276672585
ZINC000027105552,80.18349651512015,97.78355957851285,60.6506187887111,220.9449781240228,95.96404407343508,72.6001444373088,75.24695525038081
ZINC000000131412,552.4139148248505,728.6416251454283,685.0551714193524,411.7531212126751,537.3398594579664,559.7427650695712,559.6996387356194
ZINC000000131414,552.4139148248505,728.6416251454283,685.0551714193524,411.7531212126751,537.3398594579664,559.7427650695712,559.6996387356194
ZINC000002109876,495.0825202005223,671.1142848764534,627.0863606587908,354.1058520096254,479.7473737289233,502.5025521775151,501.9387525157122
ZINC000002138728,391.2605255144322,567.2941016961172,523.3870339686439,250.27358647673762,375.9174681742133,398.67372425043703,398.15245808434105
ZINC000000056973,629.3047029459294,805.3080708770583,761.1732915542573,488.32831610635435,613.9569981847196,636.7307172584626,636.1137816569483
ZINC000001530846,729.6124255900897,905.7689836131985,861.8828969161326,588.7244346259303,714.3896495411911,736.9867897010936,736.6563068347864
ZINC000096014967,452.5385077094342,277.30179218632094,322.84997786420644,593.4994094691995,468.0385194058897,445.06767158383224,446.19554587451523
ZINC000003973253,197.71706763959386,373.72671570640233,330.1159114131201,56.803329303018536,182.35602215112252,205.12684600037375,204.70077143310976
ZINC000004096845,197.71706763959386,373.72671570640233,330.1159114131201,56.803329303018536,182.35602215112252,205.12684600037375,204.70077143310976
ZINC000004097409,729.6124255900897,905.7689836131985,861.8828969161326,588.7244346259303,714.3896495411911,736.9867897010936,736.6563068347864
ZINC000006096244,824.3559687879846,1000.4336924856696,956.3920229717754,683.3988920850583,809.0564134042818,831.7541579039079,831.2677279075434
ZINC000000004016,521.6798331243297,697.7551200713534,653.8041737295406,380.7162443781829,506.37455791030783,529.0828882352179,528.6047372885612
ZINC000000057623,715.43053338101,891.4998474036271,847.4782080047282,574.4668123843869,700.1224541430655,722.8311493894496,722.3366077216166
ZINC000000900788,789.3493539030532,965.4451391443721,921.4678151202876,648.4001652612905,774.061602176631,796.7383646098453,796.2976644277709
ZINC000100055570,696.151345597729,872.1979564706936,828.1477298967618,555.1776451177965,680.8269768500893,703.5581592416261,703.0298035556406
ZINC000000004504,644.2351553954194,820.2898899784467,776.2589427106604,503.2647710232838,628.9160173649252,651.6419998033222,651.1214080390095
ZINC000000021714,468.9032135281735,645.066160902409,601.3164769353621,328.02330667538587,453.6858109369831,476.27372369774514,475.99521093951114
ZINC000001530090,338.34551892319416,514.2519256672167,470.12361575521646,197.39530598394828,322.9395741804,345.81110170569644,345.04636144197747
ZINC000001543773,346.52272280071566,522.575488451089,478.70953614527997,205.54125692450057,331.1942630762708,353.93628785726054,353.44125728120065
